zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
2101021002;02101;1751;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4658;1,28719191539573e-02;02101;1715175079,842743158;1605361374,838752031;344646,0658734976;region_02
2101021003;02101;1027;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2620;7,24010909904856e-03;02101;964739954,741946697;901354084,113709450;344028,2763792784;region_02
2101021004;02101;1769;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4532;1,25237307011023e-02;02101;1668779188,889504671;1623222174,771210194;358169,0588639034;region_02
2101021005;02101;2370;361873;Antofagasta;368221,356771735;2017;133249367039,058182;5748;1,58840256111951e-02;02101;2116536358,723934650;2227372108,673665524;387503,8463245765;region_02
2101031001;02101;1789;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3779;1,04428901852307e-02;02101;1391508507,240388155;1643084951,943783045;434793,5834728190;region_02
2101031002;02101;1119;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2511;6,93889845332479e-03;02101;924603826,853827477;989017762,675747871;393874,0592097761;region_02
2101031003;02101;952;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2087;5,76721667546349e-03;02101;768477971,582611561;830360981,794452906;397873,0147553679;region_02
2101031004;02101;1578;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3200;8,84288134234939e-03;02101;1178308341,669553280;1434486873,848151922;448277,1480775474;region_02
2101031005;02101;1580;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3138;8,67155051634137e-03;02101;1155478617,549705505;1436453862,104785919;457760,9503201994;region_02
2101031006;02101;1514;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3335;9,21594039897975e-03;02101;1228018224,833737373;1371652281,033652306;411290,0392904505;region_02
2101041001;02101;1890;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4379;1,21009304369212e-02;02101;1612441321,303428888;1743665947,692547798;398188,1588701868;region_02
2101041002;02101;1687;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4125;1,13990267303723e-02;02101;1518913096,683408260;1541978937,080463171;373813,0756558698;region_02
2101041003;02101;1014;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2518;6,95824225626117e-03;02101;927181376,351229548;889017294,656978607;353064,8509360519;region_02
2101041004;02101;1104;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2923;8,07741942615227e-03;02101;1076311025,843782425;974683158,776723623;333453,0136081846;region_02
2101041005;02101;1787;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4618;1,27613831371780e-02;02101;1700446225,571873665;1641097853,056423187;355369,8252612437;region_02
2101051001;02101;1775;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4321;1,19406532125912e-02;02101;1591084482,610668421;1629179087,902568579;377037,5116645611;region_02
2101051002;02101;2001;361873;Antofagasta;368221,356771735;2017;133249367039,058182;5027;1,38916139087470e-02;02101;1851048760,491513491;1854713321,058448792;368950,3324166399;region_02
2101051003;02101;2066;361873;Antofagasta;368221,356771735;2017;133249367039,058182;5139;1,42011147557292e-02;02101;1892289552,449948072;1919977357,814474583;373609,1375393022;region_02
2101061001;02101;2163;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3741;1,03378809692903e-02;02101;1377516095,683061838;2017682852,953469515;539343,1844302244;region_02
2101061002;02101;1347;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2750;7,59935115358151e-03;02101;1012608731,122272134;1208737837,853345633;439541,0319466711;region_02
2101061003;02101;1796;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3370;9,31265941366170e-03;02101;1240905972,320748091;1650041228,457640886;489626,4772871338;region_02
